Country Code,Country Name,Income Group,Indicator Code,Indicator Name,Region,Year,Energy Consump.
COL,Colombia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,38.25119669
COM,Comoros,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,49.83857352
CPV,Cabo Verde,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,36.63404152
CRI,Costa Rica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,45.3807809
CUB,Cuba,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,42.8902011
CUW,Curacao,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,0
CYM,Cayman Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,0
CYP,Cyprus,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0.495929367
CZE,Czech Republic,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,3.571507027
DEU,Germany,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,2.098033775
DJI,Djibouti,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,26.59282984
DMA,Dominica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,14.60310056
DNK,Denmark,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,7.041559801
DOM,Dominican Republic,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,28.01157941
DZA,Algeria,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0.177228303
ECU,Ecuador,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,24.19854913
EGY,Egypt Arab Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,8.50246618
ESP,Spain,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,10.54443118
EST,Estonia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,3.356078624
ETH,Ethiopia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,96.63538678
FIN,Finland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,24.50843148
FJI,Fiji,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,53.09400578
FRA,France,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,10.40801913
FRO,Faroe Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,2.544771435
GAB,Gabon,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,78.28066537
GBR,United Kingdom,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0.651133978
GEO,Georgia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,12.77399758
GHA,Ghana,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,80.62642197
GIB,Gibraltar,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0
GIN,Guinea,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,89.29714418
GMB,Gambia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,61.44186978
GNB,Guinea-Bissau,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,88.57960543
GNQ,Equatorial Guinea,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,84.71085961
GRC,Greece,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,7.806882299
GRD,Grenada,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,8.342131789
GRL,Greenland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0
GTM,Guatemala,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,74.96532992
GUM,Guam,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,0
GUY,Guyana,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,42.2339423
HKG,"Hong Kong SAR, China",High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,1.073856299
HND,Honduras,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,70.12908225
HRV,Croatia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,21.92317971
HTI,Haiti,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,81.1195732
HUN,Hungary,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,3.856669561
IDN,Indonesia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,58.59753114
IND,India,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,58.65285835
IRL,Ireland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,2.279781342
IRN,Iran Islamic Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,1.238359584
IRQ,Iraq,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,1.596326357
ISL,Iceland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,54.67215495
ISR,Israel,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,5.800245158
ITA,Italy,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,3.781463481
JAM,Jamaica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,7.633355058
JOR,Jordan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,2.765358064
JPN,Japan,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,4.550664024
KAZ,Kazakhstan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,1.407717208
KEN,Kenya,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,77.5040046
KGZ,Kyrgyz Republic,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,7.927699743
KIR,Kiribati,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,5.220941832
KNA,St. Kitts and Nevis,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,40.03232618
KOR,Korea Rep.,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,1.631946867
KWT,Kuwait,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0.165242348
LAO,Lao PDR,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,88.44509701
LBN,Lebanon,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,11.34168091
LBR,Liberia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,88.81723914
LBY,Libya,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,3.129308451
LCA,St. Lucia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,5.467459385
LKA,Sri Lanka,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,78.0872449
LSO,Lesotho,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,52.02797925
LTU,Lithuania,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,3.096778514
LUX,Luxembourg,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,1.721832398
LVA,Latvia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,17.56969052
MAC,"Macao SAR, China",High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,0.66098296
MAR,Morocco,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,19.48255574
MDA,Moldova,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,1.140957938
MDG,Madagascar,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,85.64727683
MDV,Maldives,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,4.458738895
MEX,Mexico,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,14.41330169
MKD,North Macedonia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,2.410188215
MLI,Mali,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,88.63756683
MLT,Malta,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0
MMR,Myanmar,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,90.90734721
MNG,Mongolia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,1.89262443
MOZ,Mozambique,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,93.10356192
MRT,Mauritania,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,46.99974359
MUS,Mauritius,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,47.06782744
MWI,Malawi,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,84.03097805
MYS,Malaysia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,11.98054361
NCL,New Caledonia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,10.15799083
NGA,Nigeria,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,87.77597276
NIC,Nicaragua,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,68.76593683
NLD,Netherlands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,1.201611136
NOR,Norway,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,59.17374642
NPL,Nepal,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,95.11971454
NRU,Nauru,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,0
NZL,New Zealand,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,30.03059277
OMN,Oman,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0
PAK,Pakistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,01/01/1990,57.50053324
PAN,Panama,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,43.58944565
PER,Peru,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,39.4258282
PHL,Philippines,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,50.9465674
PNG,Papua New Guinea,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,71.70041076
POL,Poland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,2.501484839
PRI,Puerto Rico,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,1.746942855
PRK,"Korea, Dem. People's Rep.",Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,7.189592068
PRT,Portugal,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,26.94447493
PRY,Paraguay,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,78.50645262
PSE,West Bank and Gaza,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,22.08208293
PYF,French Polynesia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,4.731666167
QAT,Qatar,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0
ROU,Romania,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,3.355765883
RUS,Russian Federation,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,3.751939258
RWA,Rwanda,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,80.08755822
SAU,Saudi Arabia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,0.037984679
SDN,Sudan,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,73.26663513
SEN,Senegal,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,55.55101113
SGP,Singapore,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,0.194833724
SLB,Solomon Islands,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,59.01436959
SLE,Sierra Leone,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,91.28215225
SLV,El Salvador,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,67.13703581
SOM,Somalia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,87.20321653
SRB,Serbia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,15.49165266
STP,Sao Tome and Principe,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,50.92907396
SVK,Slovak Republic,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,2.225335934
SVN,Slovenia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,12.35195059
SWE,Sweden,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,34.06199197
SWZ,Eswatini,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,85.24571644
SYC,Seychelles,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,4.248395139
SYR,Syrian Arab Republic,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,2.360017397
TCA,Turks and Caicos Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,1.792108636
TCD,Chad,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,98.1635271
TGO,Togo,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,78.70141705
THA,Thailand,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,33.63913092
TJK,Tajikistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,29.63775189
TKM,Turkmenistan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0.277582764
TON,Tonga,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,1.486607998
TTO,Trinidad and Tobago,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,1.193023774
TUN,Tunisia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,01/01/1990,14.48023914
TUR,Turkey,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,24.51077696
TUV,Tuvalu,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,01/01/1990,0
TZA,Tanzania,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,94.78490932
UGA,Uganda,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,01/01/1990,96.01851287
UKR,Ukraine,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,0.650122965
URY,Uruguay,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,44.81247732
USA,United States,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,01/01/1990,4.175462186
UZB,Uzbekistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,01/01/1990,1.329744598
VCT,St. Vincent and the Grenadines,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,01/01/1990,15.43977328
